,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
19,VGHCX,Vanguard Health Care Inv,+0.11,+0.05%,207.26,212.41,209.52,5.07%,5.07%,
20,VGHAX,Vanguard Health Care Adm,+0.05,+0.06%,87.39,89.57,88.36,5.08%,5.08%,
21,VHCIX,Vanguard Health Care Index Admiral,-0.24,-0.19%,128.38,131.79,124.59,8.32%,8.32%,
22,PRHSX,T. Rowe Price Health Sciences,-0.05,-0.06%,90.22,92.59,89.12,7.95%,7.95%,
23,THISX,T. Rowe Price Health Sciences Fund,-0.04,-0.04%,90.47,92.85,89.32,7.98%,7.98%,
24,SHSSX,BlackRock Health Sciences Opps Instl,-0.13,-0.18%,72.93,74.22,70.58,8.75%,8.75%,
25,SHISX,BlackRock Health Sciences Opps Svc,-0.13,-0.19%,68.50,69.74,66.31,8.65%,8.65%,
26,BHSRX,BlackRock Health Sciences Opportunities Portfolio,-0.13,-0.20%,65.91,67.11,63.83,8.57%,8.57%,
27,SHSCX,BlackRock Health Sciences Opps Inv C,-0.10,-0.18%,55.76,56.80,54.17,8.46%,8.46%,
28,SHSAX,BlackRock Health Sciences Opps Inv A,-0.13,-0.19%,68.13,69.35,65.96,8.69%,8.69%,
29,SHSKX,BlackRock Health Sciences Opps K,-0.13,-0.18%,73.04,74.33,70.70,8.78%,8.78%,
30,FSPHX,Fidelity Select Health Care,-0.05,-0.18%,28.36,29.74,28.10,6.82%,6.82%,
31,MRBGX,MFS Total Return Bond R1,-0.03,-0.33%,9.23,9.35,9.29,-0.57%,-0.57%,
32,MRBCX,MFS Total Return Bond C,-0.04,-0.43%,9.23,9.35,9.29,-0.57%,-0.57%,
33,MRBJX,MFS Total Return Bond R4,-0.04,-0.43%,9.22,9.34,9.28,-0.32%,-0.32%,
34,MRRRX,MFS Total Return Bond R2,-0.04,-0.43%,9.22,9.34,9.27,-0.34%,-0.34%,
35,MRBHX,MFS Total Return Bond R3,-0.04,-0.43%,9.22,9.34,9.27,-0.28%,-0.28%,
36,MRBBX,MFS Total Return Bond B,-0.03,-0.33%,9.23,9.36,9.29,-0.54%,-0.54%,
37,MRBFX,MFS Total Return Bond A,-0.04,-0.43%,9.22,9.34,9.27,-0.25%,-0.25%,
38,MRBKX,MFS Total Return Bond R6,-0.04,-0.43%,9.22,9.34,9.27,-0.30%,-0.30%,
39,MRBIX,MFS Total Return Bond I,-0.04,-0.43%,9.22,9.34,9.27,-0.22%,-0.22%,
40,FSMEX,Fidelity Select Medical Tech and Devcs,-0.60,-0.94%,63.64,65.67,61.10,9.05%,9.05%,
41,JFNSX,Janus Henderson Global Life Sciences Fund,-0.09,-0.13%,68.11,69.69,66.10,8.47%,8.47%,
42,JAGLX,Janus Henderson Global Life Sciences T,-0.09,-0.13%,71.20,72.83,68.99,8.53%,8.53%,
43,JNGLX,Janus Henderson Global Life Sciences D,-0.09,-0.13%,71.65,73.29,69.41,8.56%,8.56%,
44,JFNAX,Janus Henderson Global Life Sciences Fund,-0.09,-0.13%,69.94,71.56,67.80,8.52%,8.52%,
45,JFNCX,Janus Henderson Global Life Sciences Fund,-0.07,-0.11%,61.00,62.46,59.49,8.32%,8.32%,
46,JFNIX,Janus Henderson Global Life Sciences Fund,-0.09,-0.13%,71.80,73.44,69.56,8.56%,8.56%,
47,FIKCX,Fidelity Advisor Health Care Z,-0.13,-0.19%,68.14,69.72,65.51,6.71%,6.71%,
48,FACTX,Fidelity Advisor Health Care M,-0.10,-0.18%,55.60,56.93,53.59,6.52%,6.52%,
49,FHCIX,Fidelity Advisor Health Care I,-0.12,-0.18%,67.88,69.46,65.30,6.65%,6.65%,
50,FACDX,Fidelity Advisor Health Care A,-0.11,-0.18%,60.96,62.40,58.70,6.58%,6.58%,
51,FHCCX,Fidelity Advisor Health Care C,-0.09,-0.20%,44.93,46.02,43.39,6.39%,6.39%,
52,FBIOX,Fidelity Select Biotechnology Portfolio,-0.17,-0.96%,17.74,18.88,17.06,10.54%,10.54%,
53,JFNNX,Janus Henderson Global Life Sciences Fund Class N Shares,-0.09,-0.13%,71.54,73.16,69.30,8.60%,8.60%,
54,BLDPX,BlackRock Low Duration Bond R,0.00,0.00%,8.92,8.96,8.91,0.75%,0.75%,
55,BFMSX,BlackRock Low Duration Bond Portfolio,0.00,0.00%,8.92,8.97,8.91,0.76%,0.76%,
56,BLDCX,BlackRock Low Duration Bond Inv C,0.00,0.00%,8.92,8.96,8.90,0.62%,0.62%,
57,CMGAX,BlackRock Low Duration Bond Inv A1,0.00,0.00%,8.93,8.97,8.92,0.85%,0.85%,
58,CLDBX,BlackRock Low Duration Bond K,0.00,0.00%,8.92,8.96,8.90,0.88%,0.88%,
59,BLDAX,BlackRock Low Duration Bond Inv A,0.00,0.00%,8.92,8.96,8.91,0.81%,0.81%,
60,MFBGX,MFS Corporate Bond R1,-0.05,-0.42%,11.99,12.14,11.97,-0.15%,-0.15%,
61,MFBCX,MFS Corporate Bond C,-0.04,-0.33%,11.97,12.13,11.96,-0.15%,-0.15%,
62,MFBBX,MFS Corporate Bond B,-0.04,-0.33%,11.99,12.14,11.98,-0.23%,-0.23%,
63,MFBFX,MFS Corporate Bond A,-0.04,-0.33%,12.01,12.16,12.00,0.04%,0.04%,
64,MFBHX,MFS Corporate Bond R3,-0.05,-0.42%,12.02,12.17,12.01,-0.04%,-0.04%,
65,MFBJX,MFS Corporate Bond R4,-0.05,-0.42%,12.02,12.17,12.01,0.02%,0.02%,
66,MFBKX,MFS Corporate Bond R6,-0.05,-0.42%,12.00,12.15,11.99,0.04%,0.04%,
67,MBRRX,MFS Corporate Bond Fund,-0.05,-0.42%,12.02,12.17,12.01,-0.11%,-0.11%,
68,MBDIX,MFS Corporate Bond Fund,-0.05,-0.42%,12.00,12.15,11.99,0.02%,0.02%,
69,JMUCX,Janus Henderson Multi-Sector Income C,-0.02,-0.24%,8.42,8.50,8.43,1.28%,1.28%,
70,JMUIX,Janus Henderson Multi-Sector Income I,-0.03,-0.36%,8.42,8.50,8.42,1.51%,1.51%,
71,JMUAX,Janus Henderson Multi-Sector Income A,-0.03,-0.36%,8.42,8.50,8.42,1.46%,1.46%,
72,JMUDX,Janus Henderson Multi-Sector Income D,-0.02,-0.24%,8.42,8.50,8.43,1.50%,1.50%,
73,JMUTX,Janus Henderson Multi-Sector Income T,-0.03,-0.36%,8.42,8.50,8.42,1.47%,1.47%,
74,JMUSX,Janus Henderson Multi-Sector Income S,-0.03,-0.36%,8.42,8.50,8.42,1.40%,1.40%,
75,SHISX,BlackRock Health Sciences Opps Svc,-0.13,-0.19%,68.50,69.74,66.31,8.65%,8.65%,
76,BHSRX,BlackRock Health Sciences Opportunities Portfolio,-0.13,-0.20%,65.91,67.11,63.83,8.57%,8.57%,
77,SHSCX,BlackRock Health Sciences Opps Inv C,-0.10,-0.18%,55.76,56.80,54.17,8.46%,8.46%,
78,SHSAX,BlackRock Health Sciences Opps Inv A,-0.13,-0.19%,68.13,69.35,65.96,8.69%,8.69%,
79,SHSKX,BlackRock Health Sciences Opps K,-0.13,-0.18%,73.04,74.33,70.70,8.78%,8.78%,
80,FSPHX,Fidelity Select Health Care,-0.05,-0.18%,28.36,29.74,28.10,6.82%,6.82%,
81,MRBGX,MFS Total Return Bond R1,-0.03,-0.33%,9.23,9.35,9.29,-0.57%,-0.57%,
82,MRBCX,MFS Total Return Bond C,-0.04,-0.43%,9.23,9.35,9.29,-0.57%,-0.57%,
83,MRBJX,MFS Total Return Bond R4,-0.04,-0.43%,9.22,9.34,9.28,-0.32%,-0.32%,
84,MRRRX,MFS Total Return Bond R2,-0.04,-0.43%,9.22,9.34,9.27,-0.34%,-0.34%,
85,MRBHX,MFS Total Return Bond R3,-0.04,-0.43%,9.22,9.34,9.27,-0.28%,-0.28%,
86,MRBBX,MFS Total Return Bond B,-0.03,-0.33%,9.23,9.36,9.29,-0.54%,-0.54%,
87,MRBFX,MFS Total Return Bond A,-0.04,-0.43%,9.22,9.34,9.27,-0.25%,-0.25%,
88,MRBIX,MFS Total Return Bond I,-0.04,-0.43%,9.22,9.34,9.27,-0.22%,-0.22%,
89,MRBKX,MFS Total Return Bond R6,-0.04,-0.43%,9.22,9.34,9.27,-0.30%,-0.30%,
90,FSMEX,Fidelity Select Medical Tech and Devcs,-0.60,-0.94%,63.64,65.67,61.10,9.05%,9.05%,
91,JFNSX,Janus Henderson Global Life Sciences Fund,-0.09,-0.13%,68.11,69.69,66.10,8.47%,8.47%,
92,JAGLX,Janus Henderson Global Life Sciences T,-0.09,-0.13%,71.20,72.83,68.99,8.53%,8.53%,
93,JNGLX,Janus Henderson Global Life Sciences D,-0.09,-0.13%,71.65,73.29,69.41,8.56%,8.56%,
94,JFNCX,Janus Henderson Global Life Sciences Fund,-0.07,-0.11%,61.00,62.46,59.49,8.32%,8.32%,
95,JFNAX,Janus Henderson Global Life Sciences Fund,-0.09,-0.13%,69.94,71.56,67.80,8.52%,8.52%,
96,JFNIX,Janus Henderson Global Life Sciences Fund,-0.09,-0.13%,71.80,73.44,69.56,8.56%,8.56%,
97,FIKCX,Fidelity Advisor Health Care Z,-0.13,-0.19%,68.14,69.72,65.51,6.71%,6.71%,
98,FACTX,Fidelity Advisor Health Care M,-0.10,-0.18%,55.60,56.93,53.59,6.52%,6.52%,
99,FHCIX,Fidelity Advisor Health Care I,-0.12,-0.18%,67.88,69.46,65.30,6.65%,6.65%,
100,FACDX,Fidelity Advisor Health Care A,-0.11,-0.18%,60.96,62.40,58.70,6.58%,6.58%,
101,FHCCX,Fidelity Advisor Health Care C,-0.09,-0.20%,44.93,46.02,43.39,6.39%,6.39%,
102,FBIOX,Fidelity Select Biotechnology,-0.17,-0.96%,17.74,18.88,17.06,10.54%,10.54%,
103,JFNNX,Janus Henderson Global Life Sciences N,-0.09,-0.13%,71.54,73.16,69.30,8.60%,8.60%,
104,BLDPX,BlackRock Low Duration Bond R,0.00,0.00%,8.92,8.96,8.91,0.75%,0.75%,
105,BFMSX,BlackRock Low Duration Bond Instl,0.00,0.00%,8.92,8.97,8.91,0.76%,0.76%,
106,BLDCX,BlackRock Low Duration Bond Inv C,0.00,0.00%,8.92,8.96,8.90,0.62%,0.62%,
107,CMGAX,BlackRock Low Duration Bond Inv A1,0.00,0.00%,8.93,8.97,8.92,0.85%,0.85%,
108,CLDBX,BlackRock Low Duration Bond K,0.00,0.00%,8.92,8.96,8.90,0.88%,0.88%,
109,BLDAX,BlackRock Low Duration Bond Inv A,0.00,0.00%,8.92,8.96,8.91,0.81%,0.81%,
110,MFBGX,MFS Corporate Bond R1,-0.05,-0.42%,11.99,12.14,11.97,-0.15%,-0.15%,
111,MFBCX,MFS Corporate Bond C,-0.04,-0.33%,11.97,12.13,11.96,-0.15%,-0.15%,
112,MFBBX,MFS Corporate Bond B,-0.04,-0.33%,11.99,12.14,11.98,-0.23%,-0.23%,
113,MFBFX,MFS Corporate Bond A,-0.04,-0.33%,12.01,12.16,12.00,0.04%,0.04%,
114,MFBHX,MFS Corporate Bond R3,-0.05,-0.42%,12.02,12.17,12.01,-0.04%,-0.04%,
115,MBRRX,MFS Corporate Bond R2,-0.05,-0.42%,12.02,12.17,12.01,-0.11%,-0.11%,
116,MBDIX,MFS Corporate Bond I,-0.05,-0.42%,12.00,12.15,11.99,0.02%,0.02%,
117,MFBJX,MFS Corporate Bond R4,-0.05,-0.42%,12.02,12.17,12.01,0.02%,0.02%,
118,MFBKX,MFS Corporate Bond R6,-0.05,-0.42%,12.00,12.15,11.99,0.04%,0.04%,
119,JMUCX,Janus Henderson Multi-Sector Income C,-0.02,-0.24%,8.42,8.50,8.43,1.28%,1.28%,
120,JMUIX,Janus Henderson Multi-Sector Income I,-0.03,-0.36%,8.42,8.50,8.42,1.51%,1.51%,
121,JMUAX,Janus Henderson Multi-Sector Income A,-0.03,-0.36%,8.42,8.50,8.42,1.46%,1.46%,
122,JMUTX,Janus Henderson Multi-Sector Income T,-0.03,-0.36%,8.42,8.50,8.42,1.47%,1.47%,
123,JMUSX,Janus Henderson Multi-Sector Income S,-0.03,-0.36%,8.42,8.50,8.42,1.40%,1.40%,
124,JMUDX,Janus Henderson Multi-Sector Income D,-0.02,-0.24%,8.42,8.50,8.43,1.50%,1.50%,
125,JMTNX,Janus Henderson Multi-Sector Income N,-0.02,-0.24%,8.42,8.50,8.43,1.53%,1.53%,
126,0P00003CDV,JNL/Mellon Healthcare Sector A,-0.06,-0.14%,44.20,45.30,42.77,8.20%,8.20%,
127,0P00003EHX,JNL/Mellon Healthcare Sector I,-0.06,-0.13%,45.28,46.39,43.75,8.30%,8.30%,
128,0P00003EIT,JNL/DoubleLine Core Fixed Income I,-0.05,-0.37%,13.53,13.67,13.42,-0.36%,-0.36%,
129,0P00003CDF,JNL/DoubleLine Core Fixed Income A,-0.05,-0.40%,12.36,12.48,12.27,-0.47%,-0.47%,
130,VCBDX,VALIC Company I Core Bond,+0.03,+0.32%,9.36,9.57,9.58,-0.48%,-0.48%,
131,CPQGX,American Funds Preservation ABLE-F-2,-0.02,-0.21%,9.31,9.38,9.36,0.23%,0.23%,
132,FPPPX,American Funds Preservation Portfolio,-0.02,-0.22%,9.26,9.33,9.31,0.12%,0.12%,
133,PPFFX,American Funds Preservation Port F3,-0.01,-0.11%,9.25,9.33,9.31,0.25%,0.25%,
134,CPPGX,American Funds Preservation Port ABLE-A,-0.02,-0.22%,9.28,9.35,9.33,0.18%,0.18%,
135,FFPPX,American Funds Preservation 529-F-3,-0.02,-0.22%,9.26,9.33,9.31,0.13%,0.13%,
136,RGMFX,American Funds Preservation Portfolio,-0.02,-0.22%,9.27,9.34,9.32,0.22%,0.22%,
137,CPPAX,American Funds Preservation Port 529A,-0.02,-0.22%,9.25,9.33,9.31,0.17%,0.17%,
138,RPPCX,American Funds Preservation Port R3,-0.02,-0.22%,9.25,9.32,9.30,0.01%,0.01%,
139,RPPVX,American Funds Preservation Port R1,-0.02,-0.22%,9.24,9.31,9.29,-0.08%,-0.08%,
140,RPPBX,American Funds Preservation Port R2,-0.02,-0.22%,9.21,9.28,9.26,-0.08%,-0.08%,
141,PPVAX,American Funds Preservation Port A,-0.02,-0.22%,9.26,9.33,9.31,0.06%,0.06%,
142,RPPGX,American Funds Preservation Port R6,-0.02,-0.22%,9.26,9.34,9.31,0.25%,0.25%,
143,RPBEX,American Funds Preservation Port R2E,-0.01,-0.11%,9.26,9.34,9.31,0.07%,0.07%,
144,RPPEX,American Funds Preservation Port R4,-0.02,-0.22%,9.26,9.33,9.31,0.07%,0.07%,
145,CPPEX,American Funds Preservation Port 529E,-0.02,-0.22%,9.25,9.32,9.30,0.02%,0.02%,
146,PPVFX,American Funds Preservation Port F1,-0.02,-0.22%,9.26,9.33,9.31,0.06%,0.06%,
147,PPVCX,American Funds Preservation Port C,-0.01,-0.11%,9.23,9.30,9.28,0.02%,0.02%,
148,PPEFX,American Funds Preservation Port F2,-0.02,-0.22%,9.26,9.33,9.31,0.12%,0.12%,
149,CPPCX,American Funds Preservation Port 529C,-0.01,-0.11%,9.23,9.30,9.28,-0.09%,-0.09%,
150,CPPCX,American Funds Preservation Port 529C,-0.01,-0.11%,9.23,9.30,9.28,-0.09%,-0.09%,
151,CPPFX,American Funds Preservation Port 529F1,-0.01,-0.11%,9.25,9.33,9.31,0.20%,0.20%,
152,PHLAX,PGIM Jennison Health Sciences Fund,-0.05,-0.13%,38.35,39.73,36.89,13.08%,13.08%,
153,PJHRX,PGIM Jennison Health Sciences R,-0.04,-0.11%,35.75,37.07,34.51,12.97%,12.97%,
154,PHLCX,PGIM Jennison Health Sciences Fund,-0.02,-0.11%,17.43,18.07,17.38,12.80%,12.80%,
155,PHSZX,PGIM Jennison Health Sciences Fund,-0.06,-0.13%,47.69,49.40,45.59,13.15%,13.15%,
156,FBTTX,Fidelity Advisor Biotechnology M,-0.08,-0.31%,25.85,27.18,24.01,13.10%,13.10%,
157,FBTAX,Fidelity Advisor Biotechnology A,-0.09,-0.32%,28.26,29.71,26.25,13.17%,13.17%,
158,FBTCX,Fidelity Advisor Biotechnology C,-0.06,-0.27%,22.16,23.32,20.52,12.93%,12.93%,
159,HSDFX,Hartford Short Duration F,-0.01,-0.11%,9.45,9.47,9.38,1.32%,1.32%,
160,HSDVX,Hartford Short Duration R6,-0.01,-0.11%,9.41,9.43,9.34,1.32%,1.32%,
161,PHSRX,Putnam Global Health Care Fund,+0.15,+0.28%,54.27,54.63,52.50,8.47%,8.47%,
162,PHSYX,Putnam Global Health Care Fund,+0.18,+0.27%,67.92,68.34,65.30,8.62%,8.62%,
163,PCHSX,Putnam Global Health Care C,+0.09,+0.26%,35.19,35.44,34.69,8.36%,8.36%,
164,PHSTX,Putnam Global Health Care Fund,+0.17,+0.28%,60.77,61.16,58.60,8.56%,8.56%,
165,PHSBX,Putnam Global Health Care Fund,+0.06,+0.29%,20.60,20.75,21.00,8.36%,8.36%,
166,HSDYX,Hartford Short Duration Y,-0.01,-0.11%,9.47,9.49,9.39,1.19%,1.19%,
167,HSDRX,Hartford Short Duration R3,-0.01,-0.11%,9.52,9.54,9.44,1.08%,1.08%,
168,HSDSX,Hartford Short Duration R4,-0.01,-0.11%,9.52,9.54,9.44,1.14%,1.14%,
169,HSDTX,Hartford Short Duration R5,-0.01,-0.11%,9.48,9.50,9.40,1.29%,1.29%,
170,HSDIX,Hartford Short Duration I,-0.01,-0.11%,9.48,9.50,9.41,1.20%,1.20%,
171,HSDAX,Hartford Short Duration A,-0.01,-0.10%,9.54,9.56,9.46,1.13%,1.13%,
172,HSDCX,Hartford Short Duration C,-0.01,-0.10%,9.54,9.56,9.46,1.04%,1.04%,
173,ETNHX,Eventide Healthcare & Life Sciences N,-0.27,-0.81%,33.47,36.06,34.16,4.67%,4.67%,
174,ETAHX,Eventide Healthcare & Life Sciences A,-0.27,-0.81%,33.21,35.78,33.90,4.65%,4.65%,
175,ETCHX,Eventide Healthcare & Life Sciences C,-0.25,-0.82%,30.31,32.68,31.03,4.47%,4.47%,
176,ETIHX,Eventide Healthcare & Life Sciences I,-0.27,-0.79%,34.25,36.90,34.93,4.76%,4.76%,
177,0P00016N7D,TD Health Sciences - D,+0.11,+0.74%,14.81,15.35,14.41,N/A,N/A,
178,0P0000A30E,TD Health Sciences - I,+0.65,+0.78%,83.05,86.24,81.26,N/A,N/A,
179,PHLQX,PGIM Jennison Health Sciences Fund,-0.06,-0.12%,48.13,49.85,45.98,13.16%,13.16%,
180,FIJYX,Fidelity Advisor Biotechnology Z,-0.09,-0.29%,30.96,32.54,28.79,13.27%,13.27%,
181,FBTIX,Fidelity Advisor Biotechnology I,-0.09,-0.29%,30.89,32.47,28.70,13.26%,13.26%,
182,PGHAX,Putnam Global Health Care Fund,+0.18,+0.26%,68.11,68.52,65.48,8.65%,8.65%,
183,FSHCX,Fidelity Select Health Care Svcs Port,-0.49,-0.39%,124.76,131.42,130.19,3.13%,3.13%,
184,GTHIX,Invesco Health Care Fund,+0.04,+0.10%,38.16,38.59,35.89,10.35%,10.35%,
185,GGHYX,Invesco Health Care Y,+0.04,+0.10%,39.73,40.17,37.33,10.38%,10.38%,
186,GTHCX,Invesco Health Care Fund,+0.02,+0.10%,19.44,19.68,18.34,10.16%,10.16%,
187,GGHCX,Invesco Health Care A,+0.04,+0.10%,38.15,38.58,35.88,10.35%,10.35%,
188,FPHAX,Fidelity Select Pharmaceuticals Port,+0.29,+1.08%,26.88,27.16,24.52,18.51%,18.51%,
189,GGHSX,Invesco Health Care R6,+0.03,+0.08%,39.95,40.39,37.52,10.43%,10.43%,
190,DCMSX,DFA Commodity Strategy Institutional,-0.0700,-1.50%,4.6600,4.49,4.54,3.08%,3.08%,
191,HGHFX,Hartford Healthcare F,+0.08,+0.19%,41.43,42.19,39.70,7.51%,7.51%,
192,HGHVX,Hartford Healthcare R6,+0.09,+0.19%,46.49,47.35,44.55,7.49%,7.49%,
193,HGHSX,Hartford Healthcare R4,+0.08,+0.19%,41.91,42.70,40.22,7.39%,7.39%,
194,HGHAX,Hartford Healthcare A,+0.07,+0.19%,37.63,38.33,36.10,7.39%,7.39%,
195,HGHIX,Hartford Healthcare I,+0.08,+0.19%,41.08,41.84,39.38,7.47%,7.47%,
196,HGHYX,Hartford Healthcare Y,+0.08,+0.17%,46.28,47.14,44.36,7.47%,7.47%,
197,HGHTX,Hartford Healthcare R5,+0.08,+0.18%,45.42,46.26,43.54,7.48%,7.48%,
198,HGHCX,Hartford Healthcare C,+0.04,+0.15%,26.05,26.55,25.07,7.15%,7.15%,
199,HGHRX,Hartford Healthcare R3,+0.07,+0.18%,38.30,39.03,36.79,7.30%,7.30%,
200,ETHSX,Eaton Vance Worldwide Health Sci A,-0.03,-0.22%,13.57,13.80,13.18,7.96%,7.96%,
201,ECHSX,Eaton Vance Worldwide Health Sci C,-0.03,-0.22%,13.64,13.88,13.28,7.82%,7.82%,
202,ERHSX,Eaton Vance Worldwide Health Sci R,-0.03,-0.20%,14.79,15.05,14.35,7.92%,7.92%,
203,EIHSX,Eaton Vance Worldwide Health Sci I,-0.03,-0.21%,14.05,14.29,13.65,7.98%,7.98%,
204,FTDZX,Franklin Biotechnology Discovery Adv,-0.78,-0.56%,139.45,144.99,126.66,11.55%,11.55%,
205,FRBRX,Franklin Biotechnology Discovery Fund,-0.79,-0.56%,141.72,147.35,128.68,11.58%,11.58%,
206,FBDIX,Franklin Biotechnology Discovery A,-0.75,-0.56%,133.13,138.46,121.03,11.47%,11.47%,
207,FBTDX,Franklin Biotechnology Discovery C,-0.69,-0.57%,121.90,126.87,111.13,11.28%,11.28%,
208,LSFNX,Loomis Sayles Sr Floating Rate and F/I N,0.00,0.00%,8.25,8.27,8.25,2.44%,2.44%,
209,SWHFX,Schwab Health Care,-0.02,-0.08%,26.36,26.77,25.71,8.12%,8.12%,
210,LSFYX,Loomis Sayles Sr Floating Rate and F/I Y,0.00,0.00%,8.26,8.28,8.27,2.43%,2.43%,
211,LSFCX,Loomis Sayles Sr Floating Rate and F/I C,0.00,0.00%,8.22,8.25,8.23,2.30%,2.30%,
212,LSFAX,Loomis Sayles Sr Floating Rate and F/I A,0.00,0.00%,8.25,8.27,8.26,2.37%,2.37%,
213,DLHIX,Delaware Healthcare I,+0.09,+0.34%,26.62,27.11,25.53,11.30%,11.30%,
214,DLRHX,Delaware Healthcare R,+0.09,+0.35%,25.66,26.14,24.62,11.12%,11.12%,
215,DLHCX,Delaware Healthcare C,+0.08,+0.34%,23.73,24.18,22.82,10.98%,10.98%,
216,DLHAX,Delaware Healthcare A,+0.08,+0.30%,26.35,26.83,25.27,11.21%,11.21%,
217,0P0001LDIU,Candriam Eqs L Life Care R2 USD Acc,+0.42,+0.28%,151.69,153.87,153.27,N/A,N/A,
218,LOCFX,Lord Abbett Convertible F3,-0.03,-0.23%,13.13,13.19,12.62,4.73%,4.73%,
219,LBCQX,Lord Abbett Convertible R2,-0.03,-0.23%,13.27,13.33,12.76,4.53%,4.53%,
220,LCFRX,Lord Abbett Convertible R3,-0.03,-0.23%,12.85,12.90,12.36,4.54%,4.54%,
221,LACCX,Lord Abbett Convertible C,-0.03,-0.23%,12.80,12.85,12.31,4.39%,4.39%,
222,LBFFX,Lord Abbett Convertible F,-0.03,-0.23%,12.96,13.01,12.46,4.60%,4.60%,
223,LCFYX,Lord Abbett Convertible I,-0.03,-0.23%,13.07,13.12,12.57,4.67%,4.67%,
224,LCFTX,Lord Abbett Convertible R5,-0.03,-0.23%,13.06,13.12,12.56,4.67%,4.67%,
225,LCFSX,Lord Abbett Convertible R4,-0.04,-0.31%,12.95,13.00,12.45,4.64%,4.64%,
226,LCFVX,Lord Abbett Convertible R6,-0.03,-0.23%,13.14,13.19,12.63,4.65%,4.65%,
227,LCFPX,Lord Abbett Convertible P,-0.03,-0.23%,13.29,13.34,12.78,4.48%,4.48%,
228,LACFX,Lord Abbett Convertible A,-0.03,-0.23%,12.94,13.00,12.45,4.67%,4.67%,
229,BHIIX,Brigade High Income Institutional,0.00,0.00%,10.12,10.30,10.23,2.75%,2.75%,
230,BHIMX,Brigade High Income Founders,0.00,0.00%,10.12,10.30,10.24,2.79%,2.79%,
231,0P00000SO9,KBC Eq Fd Medical Techs Cl Cap,+16.64,+0.27%,"6,227.21","6,287.24","5,736.20",11.22%,11.22%,
232,0P00000M2R,KBC Equity Fund - Medical Technologies Classic Dis,+14.35,+0.27%,"5,372.58","5,450.04","4,984.07",10.35%,10.35%,
233,0P00019S3W,KBC Eq Fd Medical Techs Instl B Cap,+18.22,+0.27%,"6,731.92","6,789.24","6,169.79",11.57%,11.57%,
234,SUHIX,DWS Health and Wellness Inst,-0.02,-0.05%,43.70,44.38,42.76,7.79%,7.79%,
235,SCHLX,DWS Health and Wellness S,-0.02,-0.05%,41.11,41.76,40.30,7.77%,7.77%,
236,SUHAX,DWS Health and Wellness A,-0.02,-0.05%,36.77,37.35,36.19,7.70%,7.70%,
237,SUHCX,DWS Health and Wellness C,-0.01,-0.04%,22.68,23.06,22.79,7.48%,7.48%,
238,0P0001DK2B,Invesco Global Hlth Care Innovt A USD AD,+0.41,+0.22%,190.01,192.73,179.50,9.96%,9.96%,
